"spkid","full_name","neo","pha","H","G","M1","M2","diameter","equinox","e","a","q","i","om","w","ma","n","tp","per_y","moid","sats","rot_per"
20000001,"     1 Ceres (A801 AA)",N,N,3.34,0.12,,,939.4,J2000,0.0792,2.767,2.548,10.59,80.25,73.29,145.85,0.2142,2459919.54,4.6,1.58,0,9.074170
20000002,"     2 Pallas (A802 FA)",N,N,4.12,0.11,,,513,J2000,0.2304,2.77,2.132,34.92,172.91,310.89,126.07,0.2137,2460010.71,4.61,1.23,0,7.8132214
20000003,"     3 Juno (A804 RA)",N,N,5.18,0.32,,,246.596,J2000,0.2561,2.67,1.986,12.99,169.84,247.82,127.33,0.2259,2460036.83,4.36,1.04,0,7.21
20000004,"     4 Vesta (A807 FA)",N,N,3.25,0.32,,,525.4,J2000,0.0900,2.361,2.148,7.14,103.70,151.68,278.02,0.2717,2460902.22,3.63,1.14,0,5.34212766
20000006,"     6 Hebe (A847 NA)",N,N,5.61,0.24,,,185.18,J2000,0.2024,2.426,1.935,14.73,138.62,239.65,248.27,0.2608,2461028.85,3.78,0.976,0,7.2745
20000007,"     7 Iris (A847 PA)",N,N,5.64,,,,199.83,J2000,0.2299,2.386,1.838,5.52,259.50,145.52,314.76,0.2674,2460769.68,3.69,0.85,0,7.139
20000009,"     9 Metis (A848 HA)",N,N,6.34,0.17,,,190,J2000,0.1228,2.386,2.093,5.58,68.87,5.77,92.38,0.2674,2460255.06,3.69,1.11,0,5.079
20000010,"    10 Hygiea (A849 GA)",N,N,5.64,,,,407.12,J2000,0.1104,3.141,2.794,3.83,283.15,312.63,145.94,0.177,2459776.12,5.57,1.79,0,13.828
20000013,"    13 Egeria (A850 VA)",N,N,6.92,,,,202.636,J2000,0.0854,2.578,2.358,16.53,43.21,79.22,305.55,0.2381,2460829.15,4.14,1.44,0,7.045
20000014,"    14 Irene (A851 KA)",N,N,6.55,,,,152,J2000,0.1630,2.59,2.167,9.13,86.01,98.05,278.47,0.2365,2460945.21,4.17,1.19,0,15.028
20000015,"    15 Eunomia (A851 OA)",N,N,5.41,0.23,,,231.689,J2000,0.1876,2.644,2.148,11.76,292.89,98.77,21.75,0.2293,2460505.64,4.3,1.19,0,6.083
20000016,"    16 Psyche (A852 FA)",N,N,6.21,0.20,,,222,J2000,0.1341,2.922,2.530,3.10,150.02,229.59,321.87,0.1973,2460793.80,5,1.53,0,4.196
20000019,"    19 Fortuna (A852 QA)",N,N,7.50,0.10,,,200,J2000,0.1575,2.442,2.057,1.57,211.04,182.67,353.08,0.2583,2460627.30,3.82,1.06,0,7.4432
20000022,"    22 Kalliope (A852 WA)",N,N,6.81,0.21,,,167.536,J2000,0.0989,2.911,2.623,13.70,65.97,358.00,231.49,0.1985,2461247.95,4.97,1.64,1,4.1483
20000024,"    24 Themis (A853 GA)",N,N,7.25,0.19,,,198,J2000,0.1153,3.143,2.780,0.74,36.39,108.96,346.13,0.1769,2460678.88,5.57,1.79,0,8.374
20000029,"    29 Amphitrite (A854 EB)",N,N,5.99,0.20,,,189.559,J2000,0.0736,2.554,2.366,6.08,356.26,62.01,48.40,0.2414,2460400.03,4.08,1.38,0,5.3921
20000031,"    31 Euphrosyne (A854 RA)",N,N,6.88,,,,267.080,J2000,0.2160,3.16,2.478,26.32,30.80,61.86,77.86,0.1754,2460156.66,5.62,1.59,1,5.53
20000039,"    39 Laetitia (A856 CA)",N,N,5.97,,,,179.484,J2000,0.1120,2.768,2.458,10.37,156.93,209.96,8.48,0.214,2460560.87,4.61,1.46,0,5.138
20000041,"    41 Daphne (A856 KA)",N,N,7.64,0.10,,,205.495,J2000,0.2717,2.769,2.017,15.74,177.90,46.49,203.19,0.2139,2461333.49,4.61,1.04,1,5.988
20000045,"    45 Eugenia (A857 MA)",N,N,7.79,0.07,,,202.327,J2000,0.0830,2.72,2.494,6.61,147.58,87.33,118.60,0.2198,2460060.81,4.49,1.5,2,5.699
20000047,"    47 Aglaja (A857 RA)",N,N,8.20,0.16,,,168.174,J2000,0.1310,2.885,2.507,4.97,2.97,315.90,94.01,0.2012,2460133.13,4.9,1.5,0,13.178
20000048,"    48 Doris (A857 SA)",N,N,7.14,,,,216.473,J2000,0.0665,3.112,2.905,6.56,183.43,251.06,70.22,0.1796,2460209.44,5.49,1.93,0,11.89
20000049,"    49 Pales (A857 SB)",N,N,8.04,,,,166.252,J2000,0.2216,3.099,2.412,3.20,284.99,113.38,240.78,0.1807,2461260.42,5.46,1.42,0,20.705
