spkid,full_name,neo,pha,diameter
20000001,     1 Ceres (A801 AA),N,N,939.4
20020000, 20000 Varuna (2000 WR106),N,N,900.0
20000004,     4 Vesta (A807 FA),N,N,525.4
20000002,     2 Pallas (A802 FA),N,N,513.0
20000010,    10 Hygiea (A849 GA),N,N,407.12
20015789, 15789 (1993 SC),N,N,328.0
20000704,   704 Interamnia (A910 TC),N,N,306.313
20000052,    52 Europa (A858 CA),N,N,303.918
20010199, 10199 Chariklo (1997 CU26),N,N,302.0
20000511,   511 Davida (A903 KB),N,N,270.327
20000031,    31 Euphrosyne (A854 RA),N,N,267.08
20000451,   451 Patientia (A899 XA),N,N,253.9
20000087,    87 Sylvia (A866 KA),N,N,253.051
20000003,     3 Juno (A804 RA),N,N,246.596
20000065,    65 Cybele (A861 EB),N,N,237.26
20000088,    88 Thisbe (A866 LA),N,N,232.0
20000015,    15 Eunomia (A851 OA),N,N,231.689
20095626, 95626 (2002 GZ32),N,N,230.5
20000624,   624 Hektor (A907 CF),N,N,225.0
20000016,    16 Psyche (A852 FA),N,N,222.0
20000324,   324 Bamberga (A892 DA),N,N,220.691
20000048,    48 Doris (A857 SA),N,N,216.473
20000375,   375 Ursula (A893 SB),N,N,216.0
20000107,   107 Camilla (A868 WA),N,N,210.37
20000121,   121 Hermione (A872 JA),N,N,209.0
20000117,   117 Lomia (A871 RB),N,N,208.974
20000106,   106 Dione (A868 TA),N,N,207.869
20000041,    41 Daphne (A856 KA),N,N,205.495
20000094,    94 Aurora (A867 RA),N,N,204.89
20000013,    13 Egeria (A850 VA),N,N,202.636
20000045,    45 Eugenia (A857 MA),N,N,202.327
20000019,    19 Fortuna (A852 QA),N,N,200.0
20000007,     7 Iris (A847 PA),N,N,199.83
20000334,   334 Chicago (A892 QB),N,N,198.77
20000024,    24 Themis (A853 GA),N,N,198.0
20000154,   154 Bertha (A875 VD),N,N,192.611
20042355, 42355 Typhon (2002 CR46),N,N,192.0
20000702,   702 Alauda (A910 OA),N,N,190.98
20005145,  5145 Pholus (1992 AD),N,N,190.0
20000009,     9 Metis (A848 HA),N,N,190.0
20000029,    29 Amphitrite (A854 EB),N,N,189.559
20054598, 54598 Bienor (2000 QC243),N,N,187.5
20000006,     6 Hebe (A847 NA),N,N,185.18
20000130,   130 Elektra (A873 DA),N,N,180.652
20000165,   165 Loreley (A876 PA),N,N,180.083
20000039,    39 Laetitia (A856 CA),N,N,179.484
20000209,   209 Dido (A879 UC),N,N,179.008
20000096,    96 Aegle (A868 DA),N,N,177.774
20000423,   423 Diotima (A896 XA),N,N,175.859
20000259,   259 Aletheia (A886 MA),N,N,174.318
20000372,   372 Palma (A893 QB),N,N,173.642
20000747,   747 Winchester (A913 EK),N,N,171.71
20000409,   409 Aspasia (A895 XC),N,N,171.012
20000153,   153 Hilda (A875 VC),N,N,170.63
20000790,   790 Pretoria (A912 BE),N,N,170.37
20127546,127546 (2002 XU93),N,N,170.0
20000241,   241 Germania (A884 RA),N,N,168.9
20000047,    47 Aglaja (A857 RA),N,N,168.174
20000488,   488 Kreusa (A902 MC),N,N,168.117
20000532,   532 Herculina (A904 HE),N,N,167.791
20000022,    22 Kalliope (A852 WA),N,N,167.536
20000566,   566 Stereoskopia (A905 KA),N,N,167.381
20000049,    49 Pales (A857 SB),N,N,166.252
20002060,  2060 Chiron (1977 UB),N,N,166.0
20000059,    59 Elpis (A860 RA),N,N,165.119
20000386,   386 Siegena (A894 EB),N,N,165.01
20000128,   128 Nemesis (A872 WA),N,N,162.515
20000194,   194 Prokne (A879 FA),N,N,161.667
20000654,   654 Zelinda (A908 AM),N,N,160.736
20000185,   185 Eunike (A878 EA),N,N,160.464
20000146,   146 Lucina (A875 LC),N,N,160.31
20000054,    54 Alexandra (A858 RA),N,N,160.12
20000596,   596 Scheila (A906 DL),N,N,159.726
20000444,   444 Gyptis (A899 FA),N,N,159.331
20000190,   190 Ismene (A878 SA),N,N,159.0
20000238,   238 Hypatia (A884 NA),N,N,155.659
20000120,   120 Lachesis (A872 GB),N,N,155.132
20000085,    85 Io (A865 SA),N,N,154.79
20000361,   361 Bononia (A893 EF),N,N,154.334
20000093,    93 Minerva (A867 QA),N,N,154.155
20000014,    14 Irene (A851 KA),N,N,152.0
20000776,   776 Berbericia (A914 BE),N,N,151.711
20000139,   139 Juewa (A874 TA),N,N,151.116
